sample_id	group	data_type	status
seq015764_NC_wgs	healthy	WGS	copied
seq015807_NC_wgs	healthy	WGS	copied
seq015845_NC_wgs	healthy	WGS	copied
seq015847_NC_wgs	healthy	WGS	copied
seq015853_NC_wgs	healthy	WGS	copied
seq015867_NC_wgs	healthy	WGS	copied
seq016101_NC_wgs	healthy	WGS	copied
seq016116_NC_wgs	healthy	WGS	copied
seq016130_NC_wgs	healthy	WGS	copied
seq016138_NC_wgs	healthy	WGS	copied
seq016188_NC_wgs	healthy	WGS	copied
seq017061_NC_wgs	healthy	WGS	copied
seq017068_NC_wgs	healthy	WGS	copied
seq017070_NC_wgs	healthy	WGS	copied
seq017083_NC_wgs	healthy	WGS	copied
seq017089_NC_wgs	healthy	WGS	copied
seq017222_NC_wgs	healthy	WGS	copied
seq017233_NC_wgs	healthy	WGS	copied
seq017236_NC_wgs	healthy	WGS	copied
seq017249_NC_wgs	healthy	WGS	copied
seq017254_NC_wgs	healthy	WGS	copied
seq017261_NC_wgs	healthy	WGS	copied
seq017267_NC_wgs	healthy	WGS	copied
seq017286_NC_wgs	healthy	WGS	copied
seq017297_NC_wgs	healthy	WGS	copied
seq017311_NC_wgs	healthy	WGS	copied
seq017424_NC_wgs	healthy	WGS	copied
seq017449_NC_wgs	healthy	WGS	copied
seq017452_NC_wgs	healthy	WGS	copied
seq017492_NC_wgs	healthy	WGS	copied
seq017493_NC_wgs	healthy	WGS	copied
seq017503_NC_wgs	healthy	WGS	copied
seq017631_NC_wgs	healthy	WGS	copied
seq017633_NC_wgs	healthy	WGS	copied
seq017648_NC_wgs	healthy	WGS	copied
seq017683_NC_wgs	healthy	WGS	copied
seq017685_NC_wgs	healthy	WGS	copied
seq017686_NC_wgs	healthy	WGS	copied
seq017899_NC_wgs	healthy	WGS	copied
seq017909_NC_wgs	healthy	WGS	copied
seq018061_NC_wgs	healthy	WGS	copied
seq018066_NC_wgs	healthy	WGS	copied
seq018075_NC_wgs	healthy	WGS	copied
seq018079_NC_wgs	healthy	WGS	copied
seq018101_NC_wgs	healthy	WGS	copied
seq018107_NC_wgs	healthy	WGS	copied
seq018121_NC_wgs	healthy	WGS	copied
seq018275_NC_wgs	healthy	WGS	copied
seq018277_NC_wgs	healthy	WGS	copied
seq018312_NC_wgs	healthy	WGS	copied
seq018326_NC_wgs	healthy	WGS	copied
seq018335_NC_wgs	healthy	WGS	copied
seq018465_NC_wgs	healthy	WGS	copied
seq018481_NC_wgs	healthy	WGS	copied
seq018498_NC_wgs	healthy	WGS	copied
seq018500_NC_wgs	healthy	WGS	copied
seq018501_NC_wgs	healthy	WGS	copied
seq018552_NC_wgs	healthy	WGS	copied
seq018708_NC_wgs	healthy	WGS	copied
seq018710_NC_wgs	healthy	WGS	copied
seq018739_NC_wgs	healthy	WGS	copied
seq018879_NC_wgs	healthy	WGS	copied
seq018910_NC_wgs	healthy	WGS	copied
seq018913_NC_wgs	healthy	WGS	copied
seq018933_NC_wgs	healthy	WGS	copied
seq019065_NC_wgs	healthy	WGS	copied
seq019074_NC_wgs	healthy	WGS	copied
seq019101_NC_wgs	healthy	WGS	copied
seq019125_NC_wgs	healthy	WGS	copied
seq019127_NC_wgs	healthy	WGS	copied
seq019266_NC_wgs	healthy	WGS	copied
seq019284_NC_wgs	healthy	WGS	copied
seq019288_NC_wgs	healthy	WGS	copied
seq019309_NC_wgs	healthy	WGS	copied
seq019423_NC_wgs	healthy	WGS	copied
seq019430_NC_wgs	healthy	WGS	copied
seq019444_NC_wgs	healthy	WGS	copied
seq019448_NC_wgs	healthy	WGS	copied
seq019459_NC_wgs	healthy	WGS	copied
seq019465_NC_wgs	healthy	WGS	copied
seq019468_NC_wgs	healthy	WGS	copied
seq019471_NC_wgs	healthy	WGS	copied
seq019510_NC_wgs	healthy	WGS	copied
seq022694_NC_wgs	healthy	WGS	copied
seq022696_NC_wgs	healthy	WGS	copied
seq022706_NC_wgs	healthy	WGS	copied
seq022714_NC_wgs	healthy	WGS	copied
seq022715_NC_wgs	healthy	WGS	copied
seq030655_NC_wgs	healthy	WGS	copied
seq030656_NC_wgs	healthy	WGS	copied
seq030689_NC_wgs	healthy	WGS	copied
seq030709_NC_wgs	healthy	WGS	copied
seq030715_NC_wgs	healthy	WGS	copied
seq030745_NC_wgs	healthy	WGS	copied
seq030920_NC_wgs	healthy	WGS	copied
seq030923_NC_wgs	healthy	WGS	copied
seq030946_NC_wgs	healthy	WGS	copied
seq030950_NC_wgs	healthy	WGS	copied
seq030970_NC_wgs	healthy	WGS	copied
seq030997_NC_wgs	healthy	WGS	copied
seq031164_NC_wgs	healthy	WGS	copied
seq031196_NC_wgs	healthy	WGS	copied
seq031338_NC_wgs	healthy	WGS	copied
seq031353_NC_wgs	healthy	WGS	copied
seq036752_NC_wgs	healthy	WGS	copied
seq036788_NC_wgs	healthy	WGS	copied
seq036939_NC_wgs	healthy	WGS	copied
seq036965_NC_wgs	healthy	WGS	copied
seq037388_NC_wgs	healthy	WGS	copied
seq037923_NC_wgs	healthy	WGS	copied
seq037971_NC_wgs	healthy	WGS	copied
seq038096_NC_wgs	healthy	WGS	copied
seq038176_NC_wgs	healthy	WGS	copied
seq038287_NC_wgs	healthy	WGS	copied
