group	sample_id	input_bam	output_bam	total_R1_proper	mapq30_primary	kept_high_quality	percent_kept_of_total_R1_proper	percent_kept_of_mapq30_primary
cancer	seq061844	data/EDTA_WGS_ca/seq061844.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061844.high_quality.R1.bam	35287982	35287982	35253881	99.903364	99.903364
cancer	seq061846	data/EDTA_WGS_ca/seq061846.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061846.high_quality.R1.bam	33493011	33493011	33459350	99.899498	99.899498
cancer	seq061849	data/EDTA_WGS_ca/seq061849.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061849.high_quality.R1.bam	29860986	29860986	29831219	99.900315	99.900315
cancer	seq061850	data/EDTA_WGS_ca/seq061850.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061850.high_quality.R1.bam	34044906	34044906	34013311	99.907196	99.907196
cancer	seq061851	data/EDTA_WGS_ca/seq061851.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061851.high_quality.R1.bam	33712732	33712732	33679337	99.900942	99.900942
cancer	seq061852	data/EDTA_WGS_ca/seq061852.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061852.high_quality.R1.bam	28825199	28825199	28792260	99.885728	99.885728
cancer	seq061853	data/EDTA_WGS_ca/seq061853.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061853.high_quality.R1.bam	31153644	31153644	31122651	99.900516	99.900516
cancer	seq061854	data/EDTA_WGS_ca/seq061854.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061854.high_quality.R1.bam	30751487	30751487	30721273	99.901748	99.901748
cancer	seq061855	data/EDTA_WGS_ca/seq061855.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061855.high_quality.R1.bam	33587373	33587373	33554191	99.901207	99.901207
cancer	seq061856	data/EDTA_WGS_ca/seq061856.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061856.high_quality.R1.bam	30026832	30026832	29997432	99.902088	99.902088
cancer	seq061857	data/EDTA_WGS_ca/seq061857.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061857.high_quality.R1.bam	32634780	32634780	32603127	99.903008	99.903008
cancer	seq061858	data/EDTA_WGS_ca/seq061858.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061858.high_quality.R1.bam	32189476	32189476	32085622	99.677367	99.677367
cancer	seq061859	data/EDTA_WGS_ca/seq061859.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061859.high_quality.R1.bam	36636861	36636861	36600600	99.901026	99.901026
cancer	seq061860	data/EDTA_WGS_ca/seq061860.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061860.high_quality.R1.bam	34267404	34267404	34233866	99.902129	99.902129
cancer	seq061862	data/EDTA_WGS_ca/seq061862.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061862.high_quality.R1.bam	32090802	32090802	32059176	99.901448	99.901448
cancer	seq061863	data/EDTA_WGS_ca/seq061863.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061863.high_quality.R1.bam	28252501	28252501	28192018	99.785920	99.785920
cancer	seq061864	data/EDTA_WGS_ca/seq061864.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061864.high_quality.R1.bam	33549123	33549123	33515687	99.900337	99.900337
cancer	seq061865	data/EDTA_WGS_ca/seq061865.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061865.high_quality.R1.bam	32709394	32709394	32677195	99.901560	99.901560
cancer	seq061867	data/EDTA_WGS_ca/seq061867.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061867.high_quality.R1.bam	35481698	35481698	35447071	99.902409	99.902409
cancer	seq061868	data/EDTA_WGS_ca/seq061868.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061868.high_quality.R1.bam	38398909	38398909	38360940	99.901120	99.901120
cancer	seq061870	data/EDTA_WGS_ca/seq061870.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061870.high_quality.R1.bam	36682418	36682418	36645904	99.900459	99.900459
cancer	seq061872	data/EDTA_WGS_ca/seq061872.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061872.high_quality.R1.bam	35715240	35715240	35680301	99.902173	99.902173
cancer	seq061874	data/EDTA_WGS_ca/seq061874.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061874.high_quality.R1.bam	33712196	33712196	33679075	99.901754	99.901754
cancer	seq061875	data/EDTA_WGS_ca/seq061875.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061875.high_quality.R1.bam	34302407	34302407	34268350	99.900715	99.900715
cancer	seq061877	data/EDTA_WGS_ca/seq061877.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061877.high_quality.R1.bam	34178766	34178766	34145241	99.901913	99.901913
cancer	seq061878	data/EDTA_WGS_ca/seq061878.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061878.high_quality.R1.bam	40528371	40528371	40488677	99.902059	99.902059
cancer	seq061880	data/EDTA_WGS_ca/seq061880.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061880.high_quality.R1.bam	27762423	27762423	27733268	99.894984	99.894984
cancer	seq061883	data/EDTA_WGS_ca/seq061883.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061883.high_quality.R1.bam	30024754	30024754	29995092	99.901208	99.901208
cancer	seq061885	data/EDTA_WGS_ca/seq061885.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061885.high_quality.R1.bam	30676729	30676729	30595584	99.735484	99.735484
cancer	seq061889	data/EDTA_WGS_ca/seq061889.bam	data/EDTA_WGS_high_quality/EDTA_WGS_ca/seq061889.high_quality.R1.bam	36924806	36924806	36889427	99.904186	99.904186
