sample_id	fastq_summary_found	total_paired_reads	total_reads	gc_percentage	average_base_quality	q30_percent	read1_avg_base_quality	read2_avg_base_quality	read1_q30_percent	read2_q30_percent
seq061844	True	51650561	103301122	41.0	35.93085	96.05951400000001	36.0839	35.7778	96.68463	95.434398
seq061846	True	46531959	93063918	41.0	35.9539	96.133842	36.0583	35.8495	96.457409	95.810275
seq061849	True	41750591	83501182	41.0	36.0228	96.476795	36.0705	35.9751	96.51403499999999	96.439555
seq061850	True	44906413	89812826	41.0	35.91675	96.006726	36.0612	35.7723	96.47564799999999	95.53780400000001
seq061851	True	46208488	92416976	41.0	36.0006	96.333573	36.1001	35.9011	96.697529	95.969617
seq061852	True	41710998	83421996	41.0	35.96655	96.169374	36.0577	35.8754	96.496313	95.842435
seq061853	True	44798797	89597594	41.0	35.92305	95.900095	36.0844	35.7617	96.56446600000001	95.235725
seq061854	True	44461163	88922326	41.0	35.9643	96.130946	36.0928	35.8358	96.584887	95.67700500000001
seq061855	True	47105039	94210078	41.0	36.0366	96.505267	36.0875	35.9857	96.61222	96.398313
seq061856	True	42633922	85267844	41.0	35.95105	96.134893	36.1071	35.795	96.77691899999999	95.492868
seq061857	True	43910466	87820932	42.0	35.90785	95.960536	36.0714	35.7443	96.557085	95.363987
seq061858	True	43395406	86790812	40.0	35.9293	96.073114	36.0755	35.7831	96.70719100000001	95.439038
seq061859	True	51640724	103281448	41.0	35.9822	96.24528000000001	36.0865	35.8779	96.619736	95.870825
seq061860	True	48641641	97283282	41.0	35.93075	96.115802	36.0804	35.7811	96.705777	95.525827
seq061862	True	46128861	92257722	41.0	35.92205	95.96374399999999	36.0608	35.7833	96.47496	95.452528
seq061863	True	41128938	82257876	41.0	35.8784	95.75735	36.0691	35.6877	96.56617	94.94853
seq061864	True	47313282	94626564	41.0	35.98105	96.309733	36.1021	35.86	96.77165500000001	95.847811
seq061865	True	47086587	94173174	41.0	35.97775	96.28662800000001	36.0861	35.8694	96.742387	95.83086800000001
seq061867	True	49711258	99422516	42.0	35.97875	96.23099300000001	36.0879	35.8696	96.600175	95.861811
seq061868	True	53821363	107642726	43.0	35.9004	95.829912	36.0967	35.7041	96.60627	95.05355300000001
seq061870	True	51590669	103181338	42.0	36.03925	96.467399	36.1162	35.9623	96.721903	96.21289499999999
seq061872	True	51316868	102633736	42.0	36.00085	96.412309	36.0764	35.9253	96.608197	96.216421
seq061874	True	46412373	92824746	42.0	36.0079	96.35383399999999	36.0778	35.938	96.54681500000001	96.160853
seq061875	True	49445325	98890650	41.0	35.9566	96.148323	36.0611	35.8521	96.509399	95.78724799999999
seq061877	True	47662697	95325394	41.0	35.92465	96.048438	36.0862	35.7631	96.65231700000001	95.444559
seq061878	True	55873796	111747592	42.0	36.0557	96.614009	36.0969	36.0145	96.709672	96.518346
seq061880	True	39386543	78773086	41.0	35.9646	96.220835	36.092	35.8372	96.743842	95.697828
seq061883	True	40985659	81971318	41.0	35.95675	96.10656800000001	36.0517	35.8618	96.443639	95.76949599999999
seq061885	True	44143641	88287282	41.0	35.98325	96.366869	36.0882	35.8783	96.773864	95.959873
seq061889	True	51040392	102080784	41.0	35.88225	96.024773	36.0607	35.7038	96.716798	95.332747
seq061891	True	45584317	91168634	42.0	36.03985	96.515416	36.0847	35.995	96.595325	96.435507
seq061892	True	39730035	79460070	43.0	35.9702	96.160895	36.0534	35.887	96.45313900000001	95.868652
seq061893	True	42213673	84427346	43.0	35.9637	96.098629	36.0672	35.8602	96.477336	95.719922
seq061894	True	43420540	86841080	41.0	35.9801	96.245436	36.0996	35.8606	96.668715	95.82215699999999
seq061895	True	41077859	82155718	42.0	35.93245	96.089792	36.0966	35.7683	96.762105	95.41748
seq061896	True	47732492	95464984	42.0	36.0168	96.314272	36.0716	35.962	96.447703	96.180841
seq061897	True	42341575	84683150	42.0	35.9588	96.179634	36.0608	35.8568	96.524199	95.835068
seq061898	True	47892185	95784370	42.0	35.89115	95.94246	36.0837	35.6986	96.76831999999999	95.1166
seq061899	True	46841769	93683538	41.0	35.8686	95.752635	36.0873	35.6499	96.633588	94.87168199999999
seq061900	True	48471168	96942336	41.0	35.93295	96.148059	36.0661	35.7998	96.692613	95.60350600000001
seq061901	True	41336121	82672242	41.0	35.9814	96.32703000000001	36.0946	35.8682	96.749939	95.90411999999999
seq061902	True	43926471	87852942	41.0	35.88915	95.868238	36.0769	35.7014	96.587354	95.149121
seq061903	True	45821209	91642418	42.0	36.0176	96.492847	36.089	35.9462	96.663353	96.32234100000001
seq061904	True	45848280	91696560	43.0	36.00875	96.279543	36.0633	35.9542	96.40419399999999	96.154892
seq061905	True	37321062	74642124	42.0	36.0022	96.37764	36.0788	35.9256	96.615804	96.139475
seq061907	True	51483858	102967716	42.0	35.9584	96.100199	36.0809	35.8359	96.52036	95.680038
seq061908	True	46814224	93628448	42.0	35.99605	96.384977	36.0821	35.91	96.629317	96.140637
seq061909	True	39789845	79579690	43.0	35.9999	96.381179	36.0918	35.908	96.71240999999999	96.049947
