sample_id	insert_metrics_found	median_insert_size	mode_insert_size	median_absolute_deviation	min_insert_size	max_insert_size	mean_insert_size	standard_deviation	read_pairs	pair_orientation	width_of_10_percent	width_of_20_percent	width_of_30_percent	width_of_40_percent	width_of_50_percent	width_of_60_percent	width_of_70_percent	width_of_80_percent	width_of_90_percent	width_of_95_percent	width_of_99_percent
seq061844	True	171	167	11	60	298	170.578536	24.840007	35476552	FR	5	9	13	17	23	31	41	53	77	111	187
seq061846	True	167	166	9	88	249	166.01065	20.010889000000002	33673473	FR	3	7	11	15	19	25	33	45	67	91	137
seq061849	True	169	167	11	79	268	169.300246	21.207099	30031428	FR	5	9	13	17	23	29	37	49	69	91	145
seq061850	True	164	166	11	76	252	161.747063	21.482437	34224505	FR	5	9	13	17	23	29	39	49	71	95	145
seq061851	True	166	166	11	72	262	163.26058799999998	23.712204	33900768	FR	5	9	13	17	23	31	41	53	79	109	163
seq061852	True	173	167	13	41	328	174.263178	29.217843	28981785	FR	5	11	15	19	27	33	45	59	89	141	251
seq061853	True	166	166	12	64	275	163.954353	25.305213000000002	31308976	FR	5	9	13	19	25	33	43	55	83	115	175
seq061854	True	168	166	11	74	270	167.59310200000002	23.020598	30924996	FR	5	7	13	17	23	29	39	51	73	103	163
seq061855	True	166	166	10	81	256	165.412978	21.112218	33764777	FR	5	7	11	17	21	29	37	49	69	93	145
seq061856	True	167	166	13	51	296	165.870938	29.164065	30178159	FR	5	9	15	19	27	35	47	61	95	135	207
seq061857	True	164	166	13	53	271	158.18743600000002	30.131719	32804898	FR	5	9	15	21	27	35	47	65	109	149	195
seq061858	True	180	169	18	2	587	192.758272	56.337790000000005	32370901	FR	7	15	21	29	37	49	69	121	303	355	433
seq061859	True	166	166	11	68	272	164.93318	24.085589000000002	36814753	FR	5	9	13	17	23	31	41	53	79	109	167
seq061860	True	168	167	11	72	275	167.995453	22.978238	34449448	FR	5	9	13	17	23	31	39	51	73	99	161
seq061862	True	167	166	12	64	282	166.376354	24.595789	32278200	FR	5	9	13	19	25	31	41	55	79	109	175
seq061863	True	170	168	14	27	336	170.02512099999998	34.429641	28403508	FR	5	11	15	21	29	39	51	69	113	179	273
seq061864	True	169	166	9	92	253	169.27046399999998	18.57801	33717890	FR	5	7	11	15	19	25	33	43	61	81	125
seq061865	True	172	167	11	70	287	171.618778	23.786956	32882228	FR	5	9	13	17	23	31	39	53	75	105	171
seq061867	True	169	166	9	94	249	169.157905	18.667757	35666105	FR	5	7	11	15	19	25	33	43	61	81	125
seq061868	True	165	166	12	66	263	161.205442	26.263857	38601150	FR	5	9	13	19	25	33	43	57	91	127	175
seq061870	True	165	166	12	63	268	161.754517	26.413884000000003	36874680	FR	5	9	13	19	25	33	43	59	89	125	179
seq061872	True	166	166	13	49	295	165.272593	30.119578999999998	35907729	FR	5	9	15	21	27	35	47	63	97	141	213
seq061874	True	168	166	9	93	247	167.74436200000002	18.669045999999998	33912692	FR	5	7	11	15	19	25	33	43	61	81	125
seq061875	True	169	167	11	69	279	167.29898400000002	24.885078	34506502	FR	5	9	13	19	23	31	41	55	81	115	175
seq061877	True	166	166	10	85	253	165.568589	19.948847	34379502	FR	3	7	11	15	21	27	35	47	65	89	135
seq061878	True	167	166	10	82	257	165.999914	21.422674	40743030	FR	5	7	11	17	21	29	37	49	71	97	145
seq061880	True	168	166	11	66	284	167.95067	23.298559	27908539	FR	5	7	13	17	23	29	39	53	75	103	167
seq061883	True	168	166	9	89	250	166.68563999999998	19.892804	30177710	FR	5	7	11	15	19	27	35	45	65	91	135
seq061885	True	174	168	15	23	352	177.36148	37.761857	30842595	FR	7	11	17	23	31	41	53	71	123	219	305
seq061889	True	168	166	10	82	258	166.448146	21.696966	37113497	FR	5	7	11	17	21	29	37	51	71	97	147
seq061891	True	169	167	10	83	265	168.7671	21.236172	32039238	FR	5	7	11	15	21	27	35	47	69	97	149
seq061892	True	169	166	10	77	274	170.0073	21.225578	28098291	FR	5	7	11	17	21	29	37	49	69	91	151
seq061893	True	168	166	11	66	283	167.814848	23.711907	29646957	FR	5	9	13	17	23	31	41	53	75	103	169
seq061894	True	168	166	10	84	259	167.186343	21.240467000000002	31048567	FR	5	7	11	17	21	29	37	49	69	95	145
seq061895	True	169	167	12	58	297	169.679356	25.640871	28556226	FR	5	9	13	19	25	33	43	55	79	113	191
seq061896	True	161	165	10	79	241	158.28024	20.265320000000003	35916686	FR	5	9	13	17	21	27	35	45	67	91	139
seq061897	True	167	166	11	73	270	166.187154	23.25244	30237795	FR	5	7	13	17	23	31	39	53	75	105	159
seq061898	True	170	167	11	63	294	171.214283	24.129613	33633408	FR	5	9	13	17	23	31	41	55	77	105	179
seq061899	True	167	166	11	72	262	163.11690900000002	25.584738	34357603	FR	5	9	13	17	23	31	41	55	89	125	171
seq061900	True	171	167	11	66	291	171.279953	25.473888	34397646	FR	5	9	13	17	23	31	41	55	81	117	181
seq061901	True	168	166	10	85	260	168.402901	20.280957	30085902	FR	5	7	11	17	21	27	37	47	67	89	137
seq061902	True	171	167	11	67	291	172.382729	22.890092000000003	31030573	FR	5	9	13	17	23	31	39	51	73	97	169
seq061903	True	171	167	10	87	262	170.557501	20.453256	32262794	FR	5	9	11	15	21	27	35	47	65	89	143
seq061904	True	161	166	14	44	276	157.464081	30.277307	33789048	FR	7	11	17	23	29	37	49	67	105	141	201
seq061905	True	172	167	11	65	296	172.85294199999998	23.458353	26087572	FR	5	9	13	17	23	29	39	53	75	101	175
seq061907	True	168	167	11	81	263	167.629287	20.618123999999998	37228300	FR	5	9	13	17	23	29	37	49	67	89	139
seq061908	True	166	166	10	83	252	164.66456100000002	20.258692	34188207	FR	5	7	11	17	21	29	37	47	67	89	135
seq061909	True	169	166	10	85	260	168.52233700000002	20.763054999999998	28587353	FR	5	7	11	15	21	27	37	49	69	93	141
