sample_id	markdup_log_found	percent_duplication	read_pairs_examined	read_pair_duplicates	estimated_library_size
seq061844	True	0.10687999999999999	51294676	5436934	250971096
seq061846	True	0.098096	46274093	4507718	247911159
seq061849	True	0.099716	41545700	4120376	219329588
seq061850	True	0.089654	44681800	3983313	261650612
seq061851	True	0.099422	45990270	4554302	242287933
seq061852	True	0.09387100000000001	41451254	3860485	235090951
seq061853	True	0.11837400000000001	44515932	5245967	195076729
seq061854	True	0.10753499999999999	44182047	4724188	214716179
seq061855	True	0.108447	46894721	5065583	225034259
seq061856	True	0.099965	42376982	4210935	222934127
seq061857	True	0.10007100000000001	43689869	4351926	228276722
seq061858	True	0.098998	43157466	4252434	232294186
seq061859	True	0.105618	51386265	5405395	254350690
seq061860	True	0.10318	48389723	4973911	245839752
seq061862	True	0.10132100000000001	45836629	4617603	236663355
seq061863	True	0.10233400000000001	40838270	4154190	210269481
seq061864	True	0.11164400000000001	47092900	5239250	218783499
seq061865	True	0.108102	46773524	5016869	225177769
seq061867	True	0.115199	49483101	5682408	221882045
seq061868	True	0.115628	53528649	6157746	239080546
seq061870	True	0.11764200000000001	51345866	6016456	225376578
seq061872	True	0.110535	51041902	5606987	240154560
seq061874	True	0.101842	46211513	4687770	236908199
seq061875	True	0.109425	49129471	5336439	232436741
seq061877	True	0.10328399999999999	47417942	4879688	239455638
seq061878	True	0.10353399999999999	55647021	5740436	280195265
seq061880	True	0.095101	39200609	3715418	216954781
seq061883	True	0.09623	40786428	3908181	222849615
seq061885	True	0.10996199999999999	43927400	4810191	209019804
seq061889	True	0.099422	50765806	5022908	266977076
seq061891	True	0.104348	45395561	4716979	228026546
seq061892	True	0.101648	39541127	4001165	204627298
seq061893	True	0.10853299999999999	41959957	4525271	201606204
seq061894	True	0.101332	43209496	4357686	223566667
seq061895	True	0.100796	40862827	4102169	212785394
seq061896	True	0.105398	47537334	4993374	234209640
seq061897	True	0.099958	42102581	4193504	220845351
seq061898	True	0.099001	47612192	4688884	253693289
seq061899	True	0.098481	46601821	4570461	247499396
seq061900	True	0.098324	48205095	4711224	258399539
seq061901	True	0.09821	41154658	4023030	220006807
seq061902	True	0.101969	43646843	4411193	225704379
seq061903	True	0.115934	45630769	5269205	204262715
seq061904	True	0.11216199999999998	45644092	5093784	211825466
seq061905	True	0.098897	37156331	3661087	198536985
seq061907	True	0.105001	51224885	5352179	254678212
seq061908	True	0.099985	46608768	4638595	243596160
seq061909	True	0.104127	39601559	4105103	198968864
seq061910	True	0.100975	43216126	4341022	224758663
seq061911	True	0.10366099999999999	41324851	4265521	209625856
seq061912	True	0.123331	49452142	6079342	205839935
seq061913	True	0.101876	46236602	4697326	236568218
seq061915	True	0.099428	47205452	4673363	249106940
seq061916	True	0.091198	28656587	2604940	169363635
seq061917	True	0.103626	48106470	4967365	242576310
seq061918	True	0.102009	51915766	5267397	265345404
seq061919	True	0.10461500000000001	45207661	4708764	226168782
seq061920	True	0.10624700000000001	49244637	5210761	241597880
seq061921	True	0.097991	42160739	4113246	226569977
seq061923	True	0.114271	49615522	5652974	226299822
seq061924	True	0.100776	45711053	4579649	240401464
seq061925	True	0.103171	44398251	4561272	226860803
seq061927	True	0.103216	44139412	4529550	224902305
seq061928	True	0.106708	48970710	5192348	239350704
seq061930	True	0.094765	43327497	4090802	240500552
seq061931	True	0.09635099999999999	40315773	3868069	220914804
seq061933	True	0.09682	45896205	4418184	248857162
seq061934	True	0.107607	46675574	5006105	225614869
seq061935	True	0.095733	39771971	3792329	218919155
seq062779	True	0.10068200000000001	30585012	3036024	160823448
seq062780	True	0.090771	45176222	3986296	267346031
seq062781	True	0.093439	36725829	3390089	209872709
