sample_name	tube_type	hmC_seq_id	sample_id	dna_conc_ng_ul	tapestation_qc	unique_fragments_5hmC	unique_fragments_WGS
655_2_02_5_12_2016	EDTA	seq062784	seq062779	8.408	Pass	32743476	24441698
743_2_02_8_25_2016	EDTA	seq061940	seq061844	0.641	Pass	38317668	40473470
768_02_8_18_2016	EDTA	seq062785	seq062780	1.268	Pass	28485359	36615160
1640_02_10_14_2019	EDTA	seq061942	seq061846	1.324	Pass	36244400	36762455
1735_02_01_03_2020	EDTA	seq061945	seq061849	1.511	Pass	29517592	33028095
HT_165C1_1213_2_02_19_2020	EDTA	seq061946	seq061850	2.348	Pass	27052048	36111608
1657_02_10_22_2019	EDTA	seq061947	seq061851	0.468	Pass	33581970	36629807
772_2_02_09_20_2019	EDTA	seq061948	seq061852	1.356	Pass	25273985	33159735
HT_152C1_1762_02_05_2020	EDTA	seq061949	seq061853	0.229	Pass	36027609	34727676
1607_02_09_03_2019	EDTA	seq061950	seq061854	0.525	Pass	36174465	34670116
1807_2_02_01_28_2021	EDTA	seq061951	seq061855	1.142	Pass	40447182	37055190
1746_02_01_17_2020	EDTA	seq061952	seq061856	1.367	Pass	34306450	33842829
1787_2_02_06_08_2021	EDTA	seq061953	seq061857	1.599	Pass	35767434	34870670
HT_239C_1884_10_26_2020	EDTA	seq061954	seq061858	0.796	Pass	26116799	34519939
HT_212C1_1840_8_31_2020	EDTA	seq061955	seq061859	0.445	Pass	40343250	40764266
HT_222C1_1854_09_25_2020	EDTA	seq061956	seq061860	0.331	Pass	37749341	38432463
HT_213C1_1841_09_02_2020	EDTA	seq061958	seq061862	0.202	Pass	38266033	36288938
HT_184C1_1804_07_13_2020	EDTA	seq061959	seq061863	0.426	Pass	39862432	32287016
2364_02_08_02_22	EDTA	seq061960	seq061864	0.793	Pass	38649619	37043267
WASHU_CM_1660	EDTA	seq061961	seq061865	1.388	Pass	32079981	36968866
2355_02_07_14_2022	EDTA	seq061963	seq061867	0.51	Pass	38727072	38763618
4_20_2021_2023_HT329C1_GS_006_plasma	EDTA	seq061964	seq061868	1.752	Pass	47356717	41678304
9_14_2021_2137_HT403C1_BB_022_plasma	EDTA	seq061966	seq061870	2.182	Pass	53541770	40089266
1599-02-D1	EDTA	seq062786	seq062781	9.731	Pass	36355789	29442091
1707-02-D1	EDTA	seq061968	seq061872	0.819	Pass	37654651	40083767
1995-02-D1	EDTA	seq061970	seq061874	1.261	Pass	32312653	36591106
2122-02-D1	EDTA	seq061971	seq061875	0.095	Pass	33738108	38485067
2379-02-D1	EDTA	seq061972	seq061876	0.352	Pass	36124785	35682202
1903-02-D1	EDTA	seq061973	seq061877	0.711	Pass	27046976	37629469
2336-02-D1	EDTA	seq061974	seq061878	0.821	Pass	38864762	44377981
2384-02-D1	EDTA	seq061976	seq061880	0.502	Pass	31187794	31461030
2019-02-D1	EDTA	seq061979	seq061883	0.614	Pass	32042059	32821540
1992-02-D1	EDTA	seq061981	seq061885	1.535	Pass	36665009	34542421
HT-202C1-1827	EDTA	seq061985	seq061889	1.069	Pass	39520262	40419796
2289-02-D1	EDTA	seq061987	seq061891	1.254	Pass	38054536	36009750
2293-02-D1	EDTA	seq061988	seq061892	0.606	Pass	36989953	31314344
2350-02-D1	EDTA	seq061989	seq061893	0.161	Pass	37976327	33082005
