sample_id	fastq_summary_found	total_paired_reads	total_reads	gc_percentage	average_base_quality	q30_percent	read1_avg_base_quality	read2_avg_base_quality	read1_q30_percent	read2_q30_percent
seq003213	True	25821353	51642706	43.0	34.1062	89.20864	34.3214	33.891	91.124508	87.292773
seq003237	True	24254029	48508058	44.0	34.05365	88.893097	34.359	33.7483	91.408792	86.377401
seq003331	True	23228937	46457874	44.0	34.1467	89.36873	34.3745	33.9189	91.279424	87.458036
seq046366	True	34389649	68779298	42.5	35.6245	93.515131	35.8638	35.3852	94.435209	92.595054
seq046368	True	35154514	70309028	42.0	35.84345	94.802895	35.9208	35.7661	94.916926	94.688864
seq046369	True	47877499	95754998	42.0	35.8219	94.795402	35.9712	35.6726	95.453737	94.137068
seq046417	True	50264164	100528328	42.5	35.77685	94.895786	35.9672	35.5865	95.93312	93.858452
seq046449	True	35894891	71789782	42.0	35.70545	93.793312	35.8516	35.5593	94.014003	93.57262
seq046566	True	37193721	74387442	42.0	35.88645	95.418967	36.0872	35.6857	96.319373	94.518561
seq046606	True	36798832	73597664	42.0	35.8759	95.657928	36.1107	35.6411	96.981779	94.334078
seq046614	True	51960374	103920748	42.5	35.90065	95.615786	36.151	35.6503	97.034762	94.19681
seq046618	True	47828942	95657884	42.5	35.8708	95.4646	36.1062	35.6354	96.851406	94.077795
seq046623	True	45031431	90062862	42.5	35.85905	95.314707	36.0893	35.6288	96.517404	94.11201
seq046639	True	49605677	99211354	42.5	35.8372	95.330668	36.0861	35.5883	96.822501	93.838834
seq046641	True	52344698	104689396	42.0	35.917	95.410015	36.0913	35.7427	95.903564	94.916467
seq046749	True	31048969	62097938	41.5	35.74825	94.208133	35.8559	35.6406	94.357246	94.05902
seq046750	True	34614713	69229426	42.0	35.65635	93.877326	35.8699	35.4428	94.680606	93.074046
seq046758	True	42368007	84736014	41.5	35.8134	94.68499	35.9176	35.7092	94.894173	94.475806
seq046810	True	43612003	87224006	41.5	35.78815	94.781783	35.9477	35.6286	95.499347	94.064219
seq047238	True	44628342	89256684	41.5	35.8409	95.016476	36.046	35.6358	95.922927	94.110025
seq047248	True	41410484	82820968	41.5	35.8708	95.529796	36.1494	35.5922	96.972735	94.086857
seq047288	True	41405031	82810062	42.0	35.95855	95.832298	36.1037	35.8134	96.593192	95.071403
seq047303	True	45252784	90505568	42.0	35.96875	95.953723	36.1568	35.7807	97.038752	94.868694
seq047656	True	48812694	97625388	42.0	36.01395	96.102381	36.1995	35.8284	96.681597	95.523165
seq047660	True	43754217	87508434	42.0	35.94825	95.801187	36.1546	35.7419	96.443339	95.159036
seq047702	True	49226497	98452994	42.0	35.89725	95.410474	36.1417	35.6528	96.105008	94.715941
