sample_id	markdup_log_found	percent_duplication	read_pairs_examined	read_pair_duplicates	estimated_library_size
seq003213	True	0.034266	25574629	861410	375395069
seq003237	True	0.035275	24009086	828659	344341956
seq003331	True	0.034707	22973808	778355	333834522
seq046366	True	0.086924	33480282	2632558	233740654
seq046368	True	0.09087	34585064	2985308	219549536
seq046369	True	0.114387	47122727	5191945	230516646
seq046417	True	0.098053	49193481	4508225	290478516
seq046449	True	0.09897	34882442	3145610	209899755
seq046566	True	0.111338	36345413	3784298	180345282
seq046606	True	0.110868	35919874	3694916	180147171
seq046614	True	0.130745	50633667	6179616	209663341
seq046618	True	0.114044	46457101	4828061	229967313
seq046623	True	0.11355	43730690	4514883	218368347
seq046639	True	0.112647	48039251	4899950	242808432
seq046641	True	0.107761	51385984	5248772	258943049
seq046749	True	0.094834	30306881	2654261	195243365
seq046750	True	0.088355	33828017	2764805	230822399
seq046758	True	0.100337	41588327	3947898	242926981
seq046810	True	0.097667	42788684	3943610	259107559
seq047238	True	0.106045	43360120	4197353	234031566
seq047248	True	0.111121	40501506	4219105	201769172
seq047288	True	0.098337	40521912	3713472	231007154
seq047303	True	0.114911	44169228	4723368	213791982
seq047656	True	0.124865	48140453	5831698	200237742
seq047660	True	0.130533	43065600	5436919	171303158
seq047702	True	0.129776	48264764	5979046	195172529
seq047715	True	0.127008	35949972	4365292	149134459
seq047845	True	0.143616	47126298	5741781	214183823
seq047854	True	0.115599	41270579	4171910	226862483
seq047877	True	0.129639	53625727	6244329	252680703
seq047894	True	0.115932	32281676	3264506	178573463
seq047898	True	0.136582	42060863	4994075	194881747
seq048030	True	0.094941	37833684	3459141	217720943
seq048091	True	0.103645	48915878	4907053	253171951
seq048117	True	0.097121	39096761	3364844	238488730
seq048120	True	0.121866	60003421	6818626	271892587
seq048355	True	0.101755	43741468	4419226	221743207
seq052440	True	0.097568	42884494	4160729	218935197
seq052445	True	0.094099	42464442	3974958	225402029
seq052446	True	0.08634	32605030	2795765	190328622
seq052448	True	0.091427	42533303	3845380	233578412
seq052449	True	0.086256	34774105	2977433	203107248
seq052451	True	0.084684	38042159	3202051	226405670
seq052453	True	0.096541	43614136	4181755	225480568
seq052454	True	0.085091	36390688	3072049	215984538
seq052460	True	0.093352	39274648	3642987	210317412
seq052636	True	0.122678	32920496	3902231	160981613
seq052637	True	0.12379	37618317	4529993	181107454
seq052638	True	0.119095	34536213	3967802	175964917
seq052640	True	0.119439	36854335	4242678	186063086
seq052641	True	0.114613	31191940	3402263	167978100
seq052643	True	0.116615	37063204	4212118	190730285
seq052644	True	0.119606	34058838	3973444	168794756
seq052648	True	0.113601	35137924	3859611	187527641
seq052650	True	0.124508	39325713	4787119	186246701
seq052651	True	0.113039	40134353	4411076	212480038
seq052652	True	0.122201	35493960	4216249	173109419
seq052915	True	0.136432	24241869	3298033	92587247
seq052916	True	0.145644	51717198	7507941	183330532
seq052925	True	0.145845	33860188	4924240	119945084
seq052926	True	0.137454	30365911	4159278	115377506
seq052928	True	0.141066	43971681	6177201	161629144
seq052929	True	0.140108	35081573	4898609	129862130
seq052930	True	0.142357	28867068	4096997	104635179
seq052931	True	0.139127	33487667	4640221	124960744
seq052932	True	0.143818	43337701	6211212	155184764
seq052934	True	0.135661	38273579	5175647	147097130
seq052936	True	0.136667	36270950	4940289	137903021
seq052940	True	0.141803	37870549	5350432	139550183
seq054028	True	0.139485	42946928	5972936	148347784
