sample	group	motif_id_records	matched_records
seq003213	healthy	8000	9253
seq003237	healthy	8000	9028
seq003331	healthy	8000	8890
seq046366	healthy	8000	8413
seq046368	healthy	8000	8618
seq046369	healthy	8000	8418
seq046417	healthy	8000	8342
seq046449	healthy	8000	8191
seq046566	healthy	8000	8194
seq046606	healthy	8000	8100
seq046614	healthy	8000	7894
seq046618	healthy	8000	8341
seq046623	healthy	8000	8025
seq046639	healthy	8000	8364
seq046641	healthy	8000	8249
seq046749	healthy	8000	8115
seq046750	healthy	8000	8412
seq046758	healthy	8000	8668
seq046810	healthy	8000	8441
seq047238	healthy	8000	8204
seq047248	healthy	8000	8157
seq047288	healthy	8000	8238
seq047303	healthy	8000	8108
seq047656	healthy	8000	7992
seq047660	healthy	8000	8220
seq047702	healthy	8000	7876
seq047715	healthy	8000	8219
seq047845	healthy	8000	7860
seq047854	healthy	8000	7686
seq047877	healthy	8000	7864
seq047894	healthy	8000	7998
seq047898	healthy	8000	7857
seq048030	healthy	8000	8506
seq048091	healthy	8000	8536
seq048117	healthy	8000	8049
seq048120	healthy	8000	7856
seq048355	healthy	8000	8971
seq052440	healthy	8000	8794
seq052445	healthy	8000	8826
seq052446	healthy	8000	9390
seq052448	healthy	8000	9059
seq052449	healthy	8000	9019
seq052451	healthy	8000	9013
seq052453	healthy	8000	8844
seq052454	healthy	8000	8952
seq052460	healthy	8000	9087
seq052636	healthy	8000	7931
seq052637	healthy	8000	8236
seq052638	healthy	8000	8303
seq052640	healthy	8000	7992
seq052641	healthy	8000	8301
seq052643	healthy	8000	8182
seq052644	healthy	8000	8493
seq052648	healthy	8000	8106
seq052650	healthy	8000	8139
seq052651	healthy	8000	8484
seq052652	healthy	8000	8250
seq052915	healthy	8000	8858
seq052916	healthy	8000	8693
seq052925	healthy	8000	8815
seq052926	healthy	8000	8732
seq052928	healthy	8000	8608
seq052929	healthy	8000	8649
seq052930	healthy	8000	9021
seq052931	healthy	8000	8872
seq052932	healthy	8000	8748
seq052934	healthy	8000	8711
seq052936	healthy	8000	8963
seq052940	healthy	8000	9163
seq054028	healthy	8000	8832
seq061844	cancer	8000	8581
seq061846	cancer	8000	9170
seq061849	cancer	8000	9238
seq061850	cancer	8000	9931
seq061851	cancer	8000	9324
seq061852	cancer	8000	8860
seq061853	cancer	8000	8986
seq061854	cancer	8000	8491
seq061855	cancer	8000	9256
seq061856	cancer	8000	8607
seq061857	cancer	8000	9698
seq061858	cancer	8000	9947
seq061859	cancer	8000	9163
seq061860	cancer	8000	9292
seq061862	cancer	8000	8836
seq061863	cancer	8000	8930
seq061864	cancer	8000	9278
seq061865	cancer	8000	8539
seq061867	cancer	8000	9645
seq061868	cancer	8000	9209
seq061870	cancer	8000	9399
seq061872	cancer	8000	8949
seq061874	cancer	8000	9686
seq061875	cancer	8000	8598
seq061877	cancer	8000	9404
seq061878	cancer	8000	9355
seq061880	cancer	8000	9333
seq061883	cancer	8000	9612
seq061885	cancer	8000	9287
seq061889	cancer	8000	9396
seq061891	cancer	8000	9258
seq061892	cancer	8000	9485
seq061893	cancer	8000	8859
seq061894	cancer	8000	9344
seq061895	cancer	8000	9088
seq061896	cancer	8000	10014
seq061897	cancer	8000	9352
seq061898	cancer	8000	9148
seq061899	cancer	8000	9472
seq061900	cancer	8000	9258
seq061901	cancer	8000	9645
seq061902	cancer	8000	8945
seq061903	cancer	8000	9364
seq061904	cancer	8000	9727
seq061905	cancer	8000	9287
seq061907	cancer	8000	9485
seq061908	cancer	8000	9520
seq061909	cancer	8000	9325
seq061910	cancer	8000	9621
seq061911	cancer	8000	9135
seq061912	cancer	8000	9305
seq061913	cancer	8000	9554
seq061915	cancer	8000	9709
seq061916	cancer	8000	11046
seq061917	cancer	8000	9706
seq061918	cancer	8000	9396
seq061919	cancer	8000	9066
seq061920	cancer	8000	9683
seq061921	cancer	8000	9328
seq061923	cancer	8000	8997
seq061924	cancer	8000	8987
seq061925	cancer	8000	8945
seq061927	cancer	8000	8953
seq061928	cancer	8000	9119
seq061930	cancer	8000	9663
seq061931	cancer	8000	9138
seq061933	cancer	8000	9659
seq061934	cancer	8000	9369
seq061935	cancer	8000	9589
seq062779	cancer	8000	9548
seq062780	cancer	8000	8898
seq062781	cancer	8000	9346
