length	streck_diff	edta_diff	region
0	0.0012045182769444955	8.065598928071893e-05	Short <140 bp
20	0.007715916890421861	0.0011892948280765197	Short <140 bp
40	0.2585130963059579	-0.06598661622372325	Short <140 bp
60	0.8178870462162637	-0.5472366969828664	Short <140 bp
80	0.7925138510837415	-0.2739911353429887	Short <140 bp
100	0.9432017997930702	-0.02593613954861107	Short <140 bp
120	1.4643540114294353	-0.5201683474745566	Short <140 bp
140	1.386273040843113	-0.5044221810236866	Other 140–220 bp
150	0.06722989645454369	0.851425103028447	150–170 bp
160	-2.407441818735915	0.8272102160388606	150–170 bp
180	-3.0891584636274674	0.22339319437387672	Other 140–220 bp
200	-0.8512186702004796	-0.17686021069877178	Other 140–220 bp
220	-0.06904607745791869	-0.048156203316935375	Other 140–220 bp
240	0.13431317478253574	-0.024580719139664198	>220 bp
