sample	mean	min	max	count
seq015764_NC_wgs	163.559	3	996	27821426
seq015845_NC_wgs	165.344	2	998	39200687
seq015847_NC_wgs	164.246	2	987	37029644
seq015853_NC_wgs	161.037	2	990	41792002
seq015867_NC_wgs	164.858	2	981	36205963
seq016101_NC_wgs	163.631	2	948	42908920
seq016116_NC_wgs	163.292	2	974	30405905
seq016130_NC_wgs	163.216	2	973	35948491
seq016138_NC_wgs	166.694	2	956	38141544
seq016188_NC_wgs	165.677	4	991	39658766
seq017061_NC_wgs	163.320	2	989	35191918
seq017068_NC_wgs	164.566	3	864	35215923
seq017070_NC_wgs	160.623	5	995	37554094
seq017083_NC_wgs	159.441	2	973	30063291
seq017089_NC_wgs	163.121	2	994	33734999
seq017222_NC_wgs	167.059	2	980	28601020
seq017233_NC_wgs	163.688	2	977	38812101
seq017236_NC_wgs	158.945	3	954	35988158
seq017249_NC_wgs	165.581	2	938	38626651
seq017254_NC_wgs	163.259	3	963	29846341
seq017261_NC_wgs	164.072	8	997	29235255
seq017267_NC_wgs	168.355	2	976	32107570
seq017286_NC_wgs	163.703	2	993	35341454
seq017297_NC_wgs	165.308	2	991	39498817
seq017311_NC_wgs	162.528	2	982	44957952
seq017424_NC_wgs	162.922	2	976	32176695
seq017449_NC_wgs	163.206	2	991	38141988
seq017452_NC_wgs	164.325	2	991	37427419
seq017492_NC_wgs	166.418	3	979	31648620
seq017493_NC_wgs	164.415	2	907	32384978
seq017503_NC_wgs	165.550	2	999	29376389
seq017631_NC_wgs	167.305	2	997	37400174
seq017633_NC_wgs	160.936	2	992	40386466
seq017648_NC_wgs	162.467	2	932	37823406
seq017683_NC_wgs	163.925	2	977	31797158
seq017685_NC_wgs	163.605	2	979	39294887
seq017686_NC_wgs	166.131	2	997	33294292
seq017899_NC_wgs	167.533	2	983	33527336
seq017909_NC_wgs	162.514	2	986	29762551
seq018061_NC_wgs	168.369	2	958	37680891
seq018066_NC_wgs	161.568	2	982	36033145
seq018075_NC_wgs	168.707	2	996	25954136
seq018079_NC_wgs	162.445	2	966	33733516
seq018101_NC_wgs	166.167	2	992	32793278
seq018107_NC_wgs	162.608	2	992	35859301
seq018121_NC_wgs	163.578	2	983	32576045
seq018275_NC_wgs	165.820	2	984	39921760
seq018277_NC_wgs	164.885	2	919	35320537
seq018312_NC_wgs	165.695	2	993	41200792
seq018326_NC_wgs	167.609	2	979	34250136
